title,year,length,budget,rating,votes,Action,Comedy,Drama,Romance,Short,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,country
Global Movie 0,2001,112.0,176086313.0,5.6,385060,0,1,0,1,0,0,1,0,1,1,Global
Global Movie 1,1964,75.0,90304706.0,7.8,999458,1,0,0,1,1,0,1,0,1,0,Global
Global Movie 2,2021,138.0,144968304.0,6.6,679014,1,1,1,1,0,0,1,0,1,1,Global
Global Movie 3,2010,112.0,122063058.0,6.5,704026,1,0,1,0,0,1,1,1,0,0,Global
Global Movie 4,1970,94.0,157991466.0,9.4,929996,1,0,0,1,0,1,1,0,0,1,Global
Global Movie 5,1973,87.0,124376049.0,6.2,296645,1,1,1,1,1,0,1,0,0,1,Global
Global Movie 6,1952,131.0,62789185.0,6.0,539334,0,0,0,1,0,1,0,1,0,0,Global
Global Movie 7,1971,82.0,18336247.0,5.8,173096,1,1,0,0,0,0,0,1,1,0,Global
Global Movie 8,2002,112.0,24268496.0,8.9,986559,1,1,1,1,0,0,0,0,1,1,Global
Global Movie 9,1951,147.0,185362349.0,6.7,1804,1,0,0,1,0,1,1,0,0,1,Global
Global Movie 10,1979,97.0,107107299.0,7.3,647510,0,0,1,0,0,1,0,0,1,0,Global
Global Movie 11,1987,87.0,55767376.0,5.0,899380,0,0,0,1,0,1,1,0,1,1,Global
Global Movie 12,1951,128.0,194144368.0,7.0,967288,0,1,1,0,1,1,0,1,1,1,Global
Global Movie 13,2013,129.0,175314315.0,5.5,869300,1,1,1,1,0,1,0,0,0,0,Global
Global Movie 14,2009,132.0,41719803.0,8.0,88827,0,1,1,1,1,1,0,1,0,0,Global
Global Movie 15,1970,126.0,167333331.0,8.6,796954,1,1,1,1,1,1,0,1,0,0,Global
Global Movie 16,1982,161.0,29692913.0,7.9,207458,1,1,1,1,0,0,1,0,1,1,Global
Global Movie 17,2007,120.0,89021634.0,8.0,77854,0,1,1,0,1,0,1,1,1,1,Global
Global Movie 18,1971,125.0,114391146.0,6.8,427333,0,1,0,0,1,0,0,0,1,0,Global
Global Movie 19,1998,96.0,183615601.0,7.9,120545,0,0,0,0,0,1,0,1,0,0,Global
Global Movie 20,2008,101.0,169752067.0,6.3,856430,1,1,1,0,1,0,1,0,0,0,Global
Global Movie 21,1991,78.0,118654480.0,7.6,190396,0,0,1,0,0,0,1,1,0,1,Global
Global Movie 22,2009,173.0,135061233.0,5.4,124280,0,0,0,0,1,0,0,1,0,1,Global
Global Movie 23,1964,165.0,114634596.0,4.4,726250,0,1,0,1,0,0,0,0,1,1,Global
Global Movie 24,2011,153.0,127124077.0,6.3,34807,0,0,0,1,1,1,0,1,1,0,Global
Global Movie 25,2011,161.0,19678953.0,6.5,248159,0,0,0,1,0,0,0,1,0,0,Global
Global Movie 26,1996,166.0,115224398.0,5.4,785744,1,0,0,0,0,0,0,1,0,1,Global
Global Movie 27,2011,137.0,89871328.0,8.0,462196,1,1,1,1,1,0,0,1,1,0,Global
Global Movie 28,2000,115.0,61184714.0,4.4,644433,0,0,0,0,0,0,1,1,1,0,Global
Global Movie 29,2004,167.0,24186579.0,5.2,940331,1,1,0,0,0,0,1,1,0,0,Global
Global Movie 30,2013,136.0,17773349.0,8.1,265888,1,1,0,1,1,1,1,1,0,1,Global
Global Movie 31,1952,95.0,187852119.0,6.4,940724,1,1,1,1,0,0,1,1,0,0,Global
Global Movie 32,2000,77.0,151867647.0,7.9,25590,0,0,0,0,0,0,0,1,1,0,Global
Global Movie 33,1956,75.0,169757621.0,7.1,326921,1,0,0,0,1,0,1,0,1,0,Global
Global Movie 34,1970,149.0,191381135.0,9.2,636347,0,1,1,0,1,0,1,1,1,0,Global
Global Movie 35,1988,93.0,129450141.0,7.3,100395,1,1,1,1,1,0,1,1,1,1,Global
Global Movie 36,1967,117.0,23488128.0,4.1,123141,0,1,0,0,1,0,0,0,1,1,Global
Global Movie 37,1953,172.0,36360855.0,5.9,442252,1,0,1,0,1,1,0,1,0,1,Global
Global Movie 38,2009,163.0,50032279.0,4.8,270499,1,0,0,1,1,0,0,1,0,1,Global
Global Movie 39,1963,114.0,194565899.0,9.1,254055,0,0,0,0,0,0,1,0,0,0,Global
Global Movie 40,1958,82.0,138811856.0,4.6,909895,0,0,1,1,1,1,1,1,0,1,Global
Global Movie 41,2002,138.0,195114941.0,6.1,774290,1,0,0,0,1,1,0,0,0,0,Global
Global Movie 42,1951,94.0,193655960.0,5.2,259345,0,0,1,1,1,0,0,0,1,0,Global
Global Movie 43,2009,89.0,119846939.0,8.7,903747,0,0,1,0,0,0,1,1,0,0,Global
Global Movie 44,2020,151.0,66998396.0,5.7,919605,0,1,1,1,0,1,0,0,0,0,Global
Global Movie 45,1993,151.0,88375630.0,9.5,949956,0,0,1,0,0,0,0,0,0,1,Global
Global Movie 46,1957,135.0,24666269.0,4.2,111613,1,1,0,0,1,1,1,1,1,1,Global
Global Movie 47,1996,143.0,4895090.0,4.7,313018,0,0,0,1,0,0,1,1,0,0,Global
Global Movie 48,1984,114.0,28011610.0,5.2,923694,1,1,0,1,0,0,1,0,1,1,Global
Global Movie 49,1985,116.0,117242505.0,8.5,537309,1,0,1,0,0,0,0,1,0,1,Global
Global Movie 50,1999,132.0,158157436.0,8.8,624934,0,0,0,0,0,1,1,0,0,0,Global
Global Movie 51,1953,145.0,8038170.0,4.4,207591,0,0,1,0,1,1,1,0,1,1,Global
Global Movie 52,1951,146.0,152857163.0,4.2,926062,0,1,0,0,1,1,0,1,0,0,Global
Global Movie 53,1955,124.0,48209261.0,8.1,145276,0,0,1,0,1,1,0,0,0,0,Global
Global Movie 54,2003,144.0,59666398.0,4.7,59433,1,0,0,0,1,0,0,1,1,0,Global
Global Movie 55,1953,88.0,120158815.0,4.7,595889,1,1,0,0,1,0,1,1,0,1,Global
Global Movie 56,2003,104.0,4801082.0,4.1,44356,0,0,1,1,1,1,1,1,1,0,Global
Global Movie 57,2012,172.0,21123884.0,4.3,562044,1,0,0,0,0,1,0,1,1,0,Global
Global Movie 58,1967,122.0,80426740.0,5.5,844284,0,1,1,1,1,1,1,0,1,0,Global
Global Movie 59,1993,95.0,79204732.0,4.4,783448,1,0,1,0,1,1,1,1,1,1,Global
Global Movie 60,1983,179.0,171977837.0,6.0,424331,1,1,0,0,1,0,1,1,1,0,Global
Global Movie 61,2011,83.0,145241743.0,8.6,122138,1,1,0,1,1,1,1,1,0,0,Global
Global Movie 62,1963,114.0,80457242.0,5.8,763070,0,1,0,0,1,0,0,0,0,0,Global
Global Movie 63,1997,113.0,33447283.0,8.0,788859,0,0,1,1,0,1,1,1,0,0,Global
Global Movie 64,1964,157.0,126566710.0,4.5,933516,1,0,1,0,0,0,1,0,1,1,Global
Global Movie 65,2021,174.0,100078616.0,7.6,795233,0,1,1,0,0,1,1,0,0,0,Global
Global Movie 66,2011,134.0,145383646.0,5.7,87349,0,1,1,0,0,0,0,0,1,1,Global
Global Movie 67,1989,120.0,76824842.0,8.1,729853,1,0,1,0,0,0,1,0,0,0,Global
Global Movie 68,2002,112.0,29094575.0,4.7,464744,0,0,1,1,1,0,1,1,1,1,Global
Global Movie 69,1973,155.0,40006163.0,8.9,855691,0,0,1,1,0,0,1,1,1,0,Global
Global Movie 70,1975,92.0,92385123.0,5.3,874979,1,1,1,1,0,0,0,0,0,1,Global
Global Movie 71,2009,125.0,74854901.0,5.9,349635,1,0,1,0,1,0,1,0,0,1,Global
Global Movie 72,1990,88.0,28330357.0,9.2,849990,1,1,0,1,0,0,0,1,0,0,Global
Global Movie 73,1978,151.0,161216694.0,7.2,492974,1,1,1,0,0,0,1,0,1,0,Global
